i_32_a,sign,i_32_b,o_32_s,o_expected,Delta,%saiso,,,,,,,,,
18548634,0,45899.1914,18594532,18594533.1914,-1.19139999896288,-0.00000640725952461073%,,,,,,,,,
45899.1914,0,18548634,18594532,18594533.1914,-1.19139999896288,-0.00000640725952461073%,,,,,,,,,
18548634,1,45899.1914,18502736,18502734.8086,1.19139999896288,0.00000643904812605930%,,,,,,,,,
45899.1914,1,18548634,-18502736,-18502734.8086,-1.19139999896288,0.00000643904812605930%,,,,,,,,,
-6254159,0,46646.8242,-6207512.5,-6207512.1758,-0.324199999682605,0.00000522270420904690%,,,,,,,,,
46646.8242,0,-6254159,-6207512.5,-6207512.1758,-0.324199999682605,0.00000522270420904690%,,,,,,,,,
-6254159,1,46646.8242,-6300805.5,-6300805.8242,0.324199999682605,-0.00000514537360344331%,,,,,,,,,
46646.8242,1,-6254159,6300805.5,6300805.8242,-0.324199999682605,-0.00000514537360344331%,,,,,,,,,
19354876,0,61608.8789,19416486,19416484.8789,1.12110000103712,0.00000577395964320723%,,,,,,,,,
61608.8789,0,19354876,19416486,19416484.8789,1.12110000103712,0.00000577395964320723%,,,,,,,,,
19354876,1,61608.8789,19293266,19293267.1211,-1.12110000103712,-0.00000581083542771786%,,,,,,,,,
61608.8789,1,19354876,-19293266,-19293267.1211,1.12110000103712,-0.00000581083542771786%,,,,,,,,,
-18969358,0,78769.4766,-18890590,-18890588.5234,-1.47659999877214,0.00000781659076922385%,,,,,,,,,
